Step,Status,Details
Connect,Success,Unity server lascutypl01.ahs.int
Create User,Success,Created local Unity user vijiha.barner with extension 9455551215
LDAP Integration,Failed,Unity created the mailbox but LDAP integration is still disabled after update. Verify that the Unity user exists in LDAP and that LDAP sync/import is enabled on this cluster.
Script,Error,Unity created the mailbox but LDAP integration is still disabled after update. Verify that the Unity user exists in LDAP and that LDAP sync/import is enabled on this cluster.
