Step,Status,Details
Connect,Success,Unity server lascutypl01.ahs.int
Script,Error,"User 'Vijiha.Barner' not found in /vmrest/ldapusers after multiple query attempts. Lookup status summary: (LdapCcmUserId is Vijiha.Barner) -> 404, (LdapCcmUserId is vijiha.barner) -> 404, (LdapCcmUserId is VIJIHA.BARNER) -> 404, (Alias is Vijiha.Barner) -> 404, (Alias is vijiha.barner) -> 404, (Alias startswith Vijiha) -> 404, (DisplayName is Vijiha.Barner) -> 404, (DisplayName startswith Vijiha) -> 404, <no query> -> 404"
