Step,Status,Details
Connect,Success,Unity server lascutypl01.ahs.int
Create User,Skipped,Alias Vijiha.Barner already exists; reused existing user and updated extension 9455551215
LDAP Integration,Failed,Unity created the mailbox but LDAP integration is still disabled after update. Verify LDAP user ID is correct and that LDAP import is enabled on this Unity cluster.
Script,Error,Unity created the mailbox but LDAP integration is still disabled after update. Verify LDAP user ID is correct and that LDAP import is enabled on this Unity cluster.
